input1,input2,output
5893,6643,10009
6643,10009,10266
10009,10266,12895
10266,12895,8220
12895,8220,10378
8220,10378,12492
10378,12492,6453
12492,6453,8376
6453,8376,5167
8376,5167,5345
5167,5345,11407
5345,11407,9405
11407,9405,11586
9405,11586,8443
11586,8443,9696
8443,9696,10087
9696,10087,7851
10087,7851,9327
7851,9327,5815
9327,5815,7347
5815,7347,10568
7347,10568,10248
10568,10248,9987
10248,9987,6453
9987,6453,8589
6453,8589,13185
8589,13185,7605
13185,7605,6542
7605,6542,7258
6542,7258,7963
7258,7963,14908
7963,14908,13912
14908,13912,15568
13912,15568,19236
15568,19236,14651
19236,14651,5379
14651,5379,11184
5379,11184,10982
11184,10982,12280
10982,12280,9584
12280,9584,8052
9584,8052,7907
8052,7907,9752
7907,9752,20970
9752,20970,13588
20970,13588,13588
13588,13588,15400
13588,15400,20276
15400,20276,12157
20276,12157,9327
12157,9327,7739
9327,7739,9383
7739,9383,14237
9383,14237,16239
14237,16239,14874
16239,14874,17547
14874,17547,10613
17547,10613,23162
10613,23162,17583
23162,17583,18971
17583,18971,15109
18971,15109,22770
15109,22770,14662
22770,14662,8723
14662,8723,7124
8723,7124,7079
7124,7079,6956
7079,6956,4920
6956,4920,9797
4920,9797,6699
9797,6699,7448
6699,7448,17200
7448,17200,16686
17200,16686,11978
16686,11978,8052
11978,8052,7437
8052,7437,6352
7437,6352,7336
6352,7336,5994
7336,5994,6184
5994,6184,6028
6184,6028,14080
6028,14080,10244
14080,10244,9864
10244,9864,7795
9864,7795,8298
7795,8298,7638
8298,7638,9931
7638,9931,9036
9931,9036,10882
9036,10882,10759
10882,10759,15314
10759,15314,15802
15314,15802,18386
15802,18386,22826
18386,22826,11564
22826,11564,18375
11564,18375,17916
18375,17916,14505
17916,14505,30890
14505,30890,32556
30890,32556,30029
32556,30029,26707
30029,26707,17167
26707,17167,27702
17167,27702,23587
27702,23587,16440
23587,16440,9629
16440,9629,3657
9629,3657,13733
3657,13733,16831
13733,16831,25465
16831,25465,11508
25465,11508,17402
11508,17402,12190
17402,12190,17760
12190,17760,9786
17760,9786,9562
9786,9562,13040
9562,13040,16194
13040,16194,23821
16194,23821,20981
23821,20981,14382
20981,14382,16474
14382,16474,8634
16474,8634,4428
8634,4428,12772
4428,12772,13241
12772,13241,20500
13241,20500,21014
20500,21014,9987
21014,9987,19661
9987,19661,6688
19661,6688,12313
6688,12313,9819
12313,9819,6900
9819,6900,4428
6900,4428,4495
4428,4495,3075
4495,3075,648
3075,648,2706
648,2706,3858
2706,3858,2393
3858,2393,995
2393,995,838
995,838,2001
838,2001,1979
2001,1979,1286
1979,1286,726
1286,726,447
726,447,279
447,279,816
279,816,123
816,123,536
123,536,548
536,548,1107
548,1107,917
1107,917,682
917,682,369
682,369,1028
369,1028,324
1028,324,2963
324,2963,5323
2963,5323,5077
5323,5077,4607
5077,4607,7217
4607,7217,7705
7217,7705,11363
7705,11363,11329
11363,11329,16675
11329,16675,11720
16675,11720,12727
11720,12727,11843
12727,11843,13264
11843,13264,18420
13264,18420,7784
18420,7784,12660
7784,12660,15029
12660,15029,11362
15029,11362,8343
11362,8343,11094
8343,11094,7124
11094,7124,2896
7124,2896,6475
2896,6475,7258
6475,7258,7370
7258,7370,8779
7370,8779,9103
8779,9103,10065
9103,10065,10904
10065,10904,10378
10904,10378,6095
10378,6095,6688
6095,6688,6900
6688,6900,7716
6900,7716,10177
7716,10177,9148
10177,9148,13980
9148,13980,16664
13980,16664,23195
16664,23195,18979
23195,18979,24079
18979,24079,22938
24079,22938,16406
22938,16406,9864
16406,9864,10971
9864,10971,10043
10971,10043,10960
10043,10960,11295
10960,11295,11855
11295,11855,12660
11855,12660,13286
12660,13286,9819
13286,9819,8455
9819,8455,9282
8455,9282,10714
9282,10714,12369
10714,12369,10322
12369,10322,11743
10322,11743,11553
11743,11553,11407
11553,11407,11635
11407,11635,10781
11635,10781,10557
10781,10557,12056
10557,12056,12705
12056,12705,13689
12705,13689,14427
